Gene_Symbol,SRR1758112,SRR1758113,SRR1758114,SRR1758115,SRR1758116,SRR1758117,SRR1758118,SRR1758119,SRR1758120,SRR1758121,SRR1758122,SRR1758123
DYH11,0,3,0,0,0,4,1,0,3,1,0,0
DYH3,0,0,0,6,1,0,0,1,0,0,0,3
DYH5,0,0,7,3,0,2,6,2,7,1,2,3
DYL1,4,2,62,3878.72,4,5,32.1,3283.59,9,2,14,4428.79
DYLT1,76,186,803,5760.01,100,180,869.12,4404.62,276,148,474,4092
DYN2,65,72,109,51,46,83,101,45,54.01,50,53,55
DYR,55,170,262,433.01,41,184,227,356.01,80,156,158.07,404
DYR1B,206,330,347,2435.06,291,354,312,1405,350,317,173,1415.79
DYST,1,13,8,1,3,9,7,1,15,7,7,2
DYXC1,26,82,134,2578.92,66,111,139.06,1928.5,134,80,105,1807.37
E2F1,11,31,519.87,514.16,7,26,532.73,553.84,11,12,215.98,537.19
E2F3,49,87,194.81,65,43,105,235,35,73,57,80,40
EAA3,1001.57,1644,256,2278.39,1191.09,1519.98,224,2014.84,1952.77,1283.94,125.85,1765.41
EAA5,0,1,1,33,1,1,0,11,3,1,3,16
EAF2,172,291,760.92,299,212.99,306,771.05,269.02,454.29,257,312.9,256
EBP,273,473.86,1220.39,218,259,517.45,734.85,228.17,504.95,363.12,498.88,198.95
ECH1,487.18,703.88,546.99,217.22,552.98,862,530,211,770,734,376,208
ECI2,1196.97,1693.02,2226.17,579.98,1326.14,1161.04,1928.36,564,1547,1506,1462.41,385
ECLC,0,0,0,1,0,1,0,0,0,0,0,2
ECSIT,162,306,420,191,250,285,380,216,360,280,230,177
EDEM2,213,482.86,791,165,283.02,400,944.38,116,451,398,373,108
EDNRB,60,154,287,447,87,286.04,389,406,422,133,170,432
EF1A,26249.93,52476.41,133951.11,44538.48,35859.92,55813.01,131837.84,45591.27,53005.96,44424.25,85842.1,38160.84
EF1G,73,108.04,168.87,39,113.97,130,207,61.93,120.7,142.92,124.3,54
EFHD2,534.3,860,46,11,727.22,825.88,38,30,876,842,15,24
EFNA1,81,144,337,171,112,93,318,165,79,139.93,199,153
EFNA2,49,264.84,24,11,126,120,53,8,122,142,18,13
EFNA3,69,199,28,49,102,284,33,24,298,125.99,11,27
EFNA4,8,14,143,22,8,14,101,30,12,19,64,43
EFNA5,187,335,296.99,26,208.04,303,275,63,173,326.62,203,24
EGFR,41,95,408,231,61,83,489,92,113,97,439,153
EGLN1,635,1092.01,876.34,309.04,842,965,1072,373,1270.96,1034.93,558,363
EGR1,1025.15,4341.06,3149.74,137,2130.92,7732.78,3646.98,63,8918.04,4985,774.96,146
EGR2,10,58,16,9,18,133,64,7,115,57,8,0
EGR3,16,61.32,5,79.26,23,206,7,95,247.35,79,2,84
EGR4,94,248,32,9,160.01,420,20,10,478,275,11,18.98
EH1L1,11,14,46,6,5,15,21,10,12,17,36,11
EHBP1,931.06,1639.83,3704.79,1554.14,1426.98,1689.7,3550.81,1265.97,2053.58,1700.52,2304.86,1144.72
EHD2,17,17.95,146.91,11,19,21,121.42,4,11.53,30.9,141.28,14
EHF,2,3,527,66.34,2,10,677,11,13,1,335.01,18
EHMT2,77,137,75,88,99,115,62,63,135,116,37,111
EI24,664.69,1495.34,2823.28,1742.06,702.19,1266.1,2011.39,1760.4,1459.98,1198.12,1295.13,1425.01
EI2BA,1,1,1,1,1,0,0,1,1,0,0,0
EI2BD,2,3,0,2,0,0,0,0,1,3,0,0
EI2BG,319,576,761,507.02,350,538.99,703.4,580,548.94,446,344.08,418
EIF1,2082.04,4084,5025,4690.35,2896,4163.98,4478.87,4136.94,4309.97,3504.98,2064,3455
EIF3E,1831,3502.01,8840.41,5852.87,2297.01,3302,8821.16,5650,3766,3354,6390,4850
EIF3F,825.01,1693,3380.67,1481.61,801.88,1398.57,3009.39,1239.19,1353,1209.42,1909.51,1204.34
EIF3G,1129.97,2312.22,2451.78,2795,1382,1883,2413.06,3040.18,1903.65,1529.02,1180,1926.45
EIF3H,1672.78,3730.81,4771.14,3047.49,2168,3291.25,4540,2892.06,3792.06,2787.99,2988,2199.96
EIF3I,1258.99,2509,5062,2263.96,1656,2459,5680.05,2553.75,2934,2071,3029.57,2059
EIF3M,1191,2296,5904.88,3119.97,1513.59,1939,5676.02,3134,2031,1885.8,3893.24,2869.57
ELAF,3,11,155.01,2,3,8,129,0,3,6,49,1
ELAV2,796,1814.38,33,12,854.01,1506.54,45,7,1439.21,1360.97,34,10
ELF3,5,4,90,7,2,7,72,4,3,2,33,2
ELF5,0,0,0,15,0,0,0,6,0,0,0,1
ELMO1,2865.84,5637.2,1979.47,1569,4107.1,4692.47,2274.52,1663.52,4855.11,4945.09,1131.8,1919.91
ELOB,529.5,1249.26,212.35,326.82,610.92,877.78,212.92,317.95,1093.12,973.11,142,269.45
ELOF1,203.79,486,1041,1214,299.76,535,887.78,1084,548.05,416,410.97,971
ELOV4,490.99,647,634,52,551,589,552,22,663,585.01,206,17
ELOV6,5,6,30,1,1,1,42,0,0,0,34,0
ELOV7,62,98,189,29,47,99,219,31,72,107,79.88,21
ELP2,296.89,546,1007,2543.35,357,527,945.71,1885.86,779,526,494,1947
ELP5,99,213.01,168,119.99,175.01,333.98,227.51,181.95,340.26,225,135.19,94
EMAL3,89,78.07,378.1,360,144.99,197.02,312,444,132,99.67,223,438
EMAL5,2,9,2,2,2,1,4,0,4,2,0,0
EMC10,453.99,775,742.65,772,499,527,704,721,783.02,667,412,752.1
EMC2,758,1458,985.99,377.97,931,1348.02,1022,316,1350.72,901.02,463.1,333
EMC4,419,947,241,137,878.71,836,381.18,136,1654.99,960.93,290.94,195
EMC8,4228,7529.93,5027,4450.99,4533.99,6800.58,5222.89,4287.57,6812.02,5680.92,2558,3504.97
EMID1,131,290,139,11,160,272,143,9,198,274,73,11
EMIL1,10,20,326,9,2,16,189,6,21,15,198,11
EMP1,15,27,224,7,11,24,234.06,8,171,16,130,7
EMP2,219,370.99,888,116,228,195,657,43,361,307,707,107
EMX1,30,116,0,7,55,313.09,0,0,292.41,95,0,3
EMX2,15,324,1189,13,144,71,1131.38,4,81,148,565,6
ENDOU,1,24,8,0,4,1,21,4,10,5,10,2
ENOA,11634.09,21365.88,27846.33,38827.35,13869.27,22865,28569.51,35244.51,26755.19,17944.9,12680.61,32910.66
ENOB,528,1049,1017.17,658,738.01,1099,719,590,1335.99,874,770,786
ENPP7,0,0,0,0,1,0,1,0,0,0,0,0
ENR1,0,0,4,9,0,0,5,6,0,0,2,11
ENT1,1,0,0,0,0,0,0,1,0,0,0,0
ENTK,0,1,0,0,3,2,12,2,0,1,6,2
ENTP2,545.01,1337,348,28,607,1905.33,419.01,30.85,2676.8,816,216,13
ENTP8,0,0,0,0,0,0,1,1,0,0,0,1
ENV,0,0,1,0,0,0,3,0,0,0,2,0
ENY2,128.35,318.01,569.03,234,201,397,457,190,394,274.11,252,212
EOMES,0,0,15,30,0,1,24,49,0,0,3,23
EP400,0,2,14,5,1,0,18,6,2,0,16,6
EPAS1,2125.34,4065.05,1768,1166,1711,3077,1724.91,1078.06,3326.79,2724,1235,1174
EPB42,0,0,1,12,1,0,4,14,2,0,3,7
EPHA7,12,40,5,3,8,29,4,3,47,22,1,1
EPHB3,57,285,282,54,127,136,224,41,118.12,160,123.26,22.94
EPHB4,16,19,19,5,12,19,12,2,17,20.93,8,6
EPHX4,40,95,53,57,58,74,49,62,119,58,35,130
EPIPL,0,0,2,9,0,1,0,0,0,3,0,0
EPYC,4,2,5,19,0,4,2,4,2,0,0,0
ERBB,57,117,695,163.98,120,109,791,79,165,138,619,147
ERBB4,2,6,0,2,1,4,1,3,2,3,0,4
EREG,7,8,415,15,0,11,432,6,14,12,204,2
ERF,8,25,20,2,12,18,10,1,20,32,11,7
ERF3A,766,1509.05,4405.17,2436.79,1018.02,1597.1,4910.08,1692.08,1790.02,1331.24,2917.76,1623.99
ERGI3,1357,2539.01,2478.05,711.78,1241.93,1973.97,2087,567,2593.88,1941.02,1182,569
ERH,708,1486,2153.5,3511.5,926,1446,1906.76,2587.89,1533,1142.16,898.68,2353.31
ERI3,1098,2247.89,1114,290,1439.42,2273.98,1186.79,306,2680.22,1753.73,638.95,271
ERP27,5,11,25,10,5,16,29,11,16,10,9,7
ERP44,1167,2307,3545.99,2993.46,1549.08,1968.99,3868.64,2667.47,2170.24,1817.58,1749,2373
ERVV1,1,0,12,0,21,0,26,0,6,0,15,0
ERVV2,1,2,0,2,1,6,1,5,2,5,0,4
ES1,16,28,886,50,11,15,419,23,16,20,169,66
ES8L3,0,2,9,0,0,0,6,1,1,1,1,1
ESM1,0,2,23,5,7,6,32,6,10,7,17,2
ESPN,32,37,10,26,105,7,11,4,13,69,14,12
ESPNL,1,0,0,0,0,0,0,0,2,0,0,0
ESRP1,1,4,1464,221,0,4,2069,158,2,0,1210,199
ETFB,342.42,613.99,810.96,308,370.29,554,754.93,277,477.81,519,383.08,289
ETS1A,80,164,449,20,90,146,523.03,10,86,109,189,14
ETS2,1302.4,1213.07,2038.77,204.47,1567.15,1248.83,2819.99,197,828.85,1485.38,1265.44,142
ETV6,150,217,674.04,541,190,241,685,410.99,196,225.05,336.98,425
EVI2B,8,18,38,10,4,21,44,5,33,11,15,6
EVL,1,1,1,3,1,4,3,1,4,3,1,2
EVX2,2,7,0,11,1,2,4,10,1,0,0,12
EXFAB,107,72,793.94,1,100,159,2319.27,2,172.03,118,356,3
EXOC1,0,0,4,1,0,0,11,2,0,0,6,0
EXOC3,1210,2254.99,1594.12,1186.71,1207.01,1943.12,1434,1104,2276.9,1915,813,883.56
EXOS3,2,2,4,7,1,4,8,9,7,1,5,5
EXSA,0,0,0,11.09,0,0,0,9,0,0,0,9.3
EYA1,46,97,6,263,22,77,19,198,65,33,4,168
EYS,1,2,1,6,0,8,0,3,13,0,0,1
F100B,123,222,1206.89,740.72,161,190,1225.99,716,164.02,210,480.96,686.01
F108C,454.51,651,985.26,429.27,666,768,1195.78,361,760.89,619.08,568.33,366
F134B,392,555,523,659,473,690,395,392,606,567,291,500
F136A,44,100,141,51,67,104,83,59,103,74,71,55
F13B,0,8,0,16,0,3,0,19,12,2,1,9
F150A,2,18,3,9,3,29,1,7,38,10,3,6
F155A,135,194,13,7,237.87,224,12.82,9,273,222,7,3
F163A,2,1,3,0,0,3,1,0,1,1,1,1
F168A,757,1354,343.89,582,962,1107.02,286.71,811.09,1358,1086.05,202,750
F169A,1021,2322.06,2325,895.71,1573.93,2559.14,2967.03,729,2663.16,2603.97,1056,739.93
F16P1,6,15,572,23,0,4,476.89,9,20,6,309,12
F16P2,2,2,1,97,2,0,2,57,1,1,5,55
F1711,470,914.27,250,135,604,889.1,176,141,1144,881.89,127,173
F174A,119,539,305,1452,128,462,263,1145,264.22,362.99,142,1102.24
F176C,0,0,5,0,0,0,10,0,2,0,5,0
F180A,2,1,96,9,1,2,52,7,4.16,0,96,6
F188A,619.52,1162.02,590,1394,451,907.46,529.99,1038.2,1040.22,612.99,256.01,1098.09
F1892,15,29,4474.12,131,29,29,4011,200,33.13,39,1818.6,179
F18B1,1139.99,1579.32,5170.08,752.4,1164.3,1683,4471.04,801,1880,1361.3,2111.02,618.02
F192A,1125.01,2168.44,1746.47,2220.97,1083.14,1540.95,1363.76,2079.88,1459.4,1646.24,816.62,1833.47
F194A,30,81,8,5579.74,36,105,3,4726.23,104,84,3,5008.79
F195A,147,181,251,321.19,183.06,124,294,697.97,139,160,244.03,361
F19A5,442,856.81,54,160,587,828.14,77,56,1291.01,761.97,42,44
F204A,496.42,1143.13,637.07,1208.4,450,381,465,563.93,773.85,775.95,342.02,932.02
F207A,431.04,774,5405.74,834.56,601,755.98,4498.12,737.38,714.92,651.96,2357.39,763
F212A,32,14,75.54,22,58,14,62,33,5,46,26,44
F26L,6,4,3,2,0,2,0,3,2,2,1,0
FA11,0,0,0,23,0,0,1,3,0,0,0,1
FA13A,18,14,113,9,7,16,76,1,16,21,56,7
FA43A,755,1585.28,1893.06,220,1025.86,1160.12,1572.05,225,792,1352.01,1139,273
FA46A,84,201,566,203,153,248,332,297,206.94,185.94,237.19,217
FA46C,7,12,1720,48,4,7,1547.99,35,24,8,1081,50
FA47A,1,5,116,5489.07,0,4,142,4540,5,2,64,4051.28
FA49A,1053.69,1789.63,2,2,1398.79,1331.43,5,6,1313.06,1620.02,2,5
FA50A,162,262,354,444,234,280,348,382,289,272.05,172,338
FA57B,260.99,376.94,208.94,537.71,240.87,229.76,71.95,296.44,326.03,235.09,116,271
FA60A,35,94,2156.26,102,48,182,2723.83,105,172.01,98,1013.01,88
FA65B,3,12,4,7,5,4,7,5,6,1,2,3
FA7,0,0,0,6,1,0,1,1,0,1,0,4
FA71D,1,8,111,15560.11,5,3.98,40,14890.16,13,3,445,13180.05
FA83A,6,24,7,62,12,23,11,65,6,4,2,41
FA83C,17,34,31,27,7,14,8,74,45,23,11,42
FA83F,0,1,55,39,0,1,42,21,8,0,38,25
FA83G,0,0,0,0,0,1,0,0,1,0,0,1
FA8A1,8,27,53,4,15,29,68,2,34,20,29,2
FA9,0,0,5,52,0,1,8,73,0,1,4,51
FABP4,3,4,818,12,2,9,1530,6,2,2,834,2
FABPH,360,997,208,29,306,1526.67,515,9,2107.07,775,96,9
FABPI,10,20,100,22,25,6,142,10,5,11,56,9
FAIM1,0,0,25,1,0,1,25,1,0,0,16,0
FAM3B,0,7,98,128,0,5,79,118,2,1,45,129
FAN,505.29,855,2481.02,538.02,550,710,2730.75,456,743,640,1412,492
FASTK,739,1305,1953.16,1273,1134.01,1353.01,1868,1208,1576,1075,951,1068
FAT2,179,1,5,108.08,258,17,4,85,1,270,7,80
FAT4,0,2,0,0,0,2,0,0,3,2,0,0
FBLN1,170,187.45,2613.06,422.89,332,212,2616.4,233,129,288,2931.87,203
FBLN2,2,0,5,2,0,1,11,2,0,0,1,4
FBLN3,1922.99,3408.62,3218,753,1932.68,1818.15,3433.17,775,1862.5,2702.45,2492.01,595
FBLN4,4,12,36,11,5,14,33,15,14,7,23,12
FBRL,139,336,703,218,231,278.36,850.7,186,334,316,374,243
FBX21,1,2,6,5,67,3,9,1,11,0,9,4
FBX3,511,901.12,1739.75,810.58,540,868.02,1680,997,958,779.74,1236.06,841
FBX4,54,195,415,772.01,84,256,372,763.01,151.11,190.08,227,630
FBX46,225,388,986.01,375,306,374,821,352,347,391,415,351
FBXL3,1407.27,2130.34,1495.67,671,1812.02,1968.71,1628,649.97,2397.71,2143.95,1018.89,713.6
FBXW9,320,619.95,827.64,1966.18,381,556.01,748.68,1845.19,651.31,526.7,375.98,1757.5
FCER2,14,20,431.01,9,18,26,182,6,19,17,64.33,1
FCERG,5,16,187,8,12,16,74.25,7,7,7,51,5
FCGBP,0,1,173,1,2,0,166,0,4,0,102,0
FCRL1,0,1,1,11,1,1,3,8,0,0,2,4
FD2,0,0,1,0,0,0,4,5,3,0,0,6
FETA,45.99,2,1133.56,613,7,54,918.02,929.95,8,16,554,559
FETUA,0,2,0,1,2,0,0,0,0,2,0,1
FETUB,2,2,4,1,0,1,1,1,0,1,0,5
FEZF1,0,0,6,0,0,7,17,0,0,1,6,1
FEZF2,37,225.51,35,4,142,529,120,6,813,295.98,69,7
FGD5,521,965,4122.41,505,650,843.7,3921.99,385,822,767,2069,394
FGF1,334,498,136,2,168,571,113,4,505.68,356,120,1
FGF10,5,16,17,6,3,12,11,5,27,10,2,2
FGF12,1568.78,3339.09,368,34,2104.18,3992.98,455,15,4748.89,2617.03,252,24
FGF16,8,28,162,79,24,77,195.51,52,45.02,30,129.98,53
FGF18,73,46,60,4,105,52,16,3,37,102,5,1
FGF20,2,7,775.29,10,5,6,932.85,6,10,5,513,12
FGF23,1,2,56,29,0,0,60,76,3,1,30,27
FGF7,0,4,9,2,1,6,15,1,0,1,27,1
FGFP3,19,38,1,1,16,10,1,4,23.13,24,1,1
FGFR,64.99,121.37,42,7,83,70,53,3,32,86,16,3
FGFR4,1,0,2,4,0,0,1,1,0,0,1,0
FGRL1,108,168,545.2,329,146,200,612.01,454,187.36,161,488,316
FHAA,25,47.99,17,37,35.9,34,22,25,51,32,10,23.02
FHOD3,0,1,6,0,10,3,9,1,3,1,5,0
FIBB,1,1,6,59,0,0,13,33,0,0,14,40
FIBIN,133,233,269,22,110,340,553,22,434,267,110,16
FIBP,286,632,538,266,443.04,487.66,524,331,484,462.9,217,287.98
FIG4,412,762,679,1128,438,826,546.15,898,923,620,301,729.98
FIGL2,8,3,10,0,16,15,7,1,13,10,1,0
FIGLA,0,2,184,0,0,2,169.19,0,2,4,192,1
FIGN,48,81,286,86,46,98,255,97,105,37,177,58
FINC,11,24,101,9,13,15,258,15,8,7,27,5
FIS1,100,280.23,246.6,88,121,296.31,137,140,180,184,113.01,57
FKB11,44.94,64,301.81,44,76,67,244,41,62,56,131,59
FKB1A,4507.07,12303.95,5619.86,956,6512.08,17056.48,5014,867,18159.24,7712.61,2294.55,704.14
FKB1B,306,364.95,105,52,440,596,96,57,554.85,503,61,35
FKBP5,629.58,962.01,3601.92,1026.4,1013.97,1388.83,4983.42,1258.02,3640.14,903.34,4384.63,1334.68
FKBP6,25,46,1158.91,422,16,79,897,281,73,63,651,286.83
FKBP8,631.58,1137.99,1899.55,727.95,774.87,923,1532,860,986,1053,849.7,728
FKBPL,32,57,75,133,73,114,98,114,125,125,57,50.03
FLI1,100,182,464,33,101,171,415.01,23,173,152,250,15
FLNC,1,0,7,2,1,2,11,1,1,0,6,2
FLOT1,283.87,405,531,1111.6,353.4,352.9,447.59,1190.91,334.79,444,247,961
FLRT1,33.93,69,8,0,32,48,3,0,86,56,1,0
FLRT3,308,1013,498,343,427,1095.01,469,262,1392.14,710,335,216
FMNL2,588,1034,815.35,124,563.81,920,840,82,722,694,425.5,107
FMNL3,17,35,120,24,28,30,140,62,30,24,71,45
FMO5,0,5,3,40,3,3,1,43,1,5,2,47
FMOD,63,806.85,929,30,268,267,607,17,261.35,394,302.99,168
FNTA,573.35,1459,1589.74,528,671.99,1321.98,1454.89,462,821.43,1186.98,876,514
FOG1,372.39,302,3776.11,401.12,545,113,3408.08,335.98,160,546,1844.85,272
FOLR3,0,0,1,5,0,1,0,0,0,0,0,1
FOP,1784.13,2762.54,3099.68,1747.54,2413.85,2910.01,3074.62,1539.01,3119.49,2993.3,1728.6,1572.07
FOPNL,103.99,217,643.86,668.02,130,228,492,517.62,237,194,296,580.54
FOS,640.05,1521.29,1813.87,66,1480,2780.5,1484.96,57,2247.77,2920.94,596,110.27
FOSB,15,31,6,4,13,62,5,3,123.89,69,7,2
FOXA1,0,2,0,8,0,0,18,11,0,2,1,8
FOXB2,0,0,0,0,0,3,0,0,0,0,3,0
FOXC1,1,3,2,0,1,3,2,2,1,0,2,0
FOXC2,22,51,10,3,19,32,39,2,19,42,9,0
FOXD1,2,4,0,0,1,2,0,0,1,2,0,0
FOXD3,0,0,6,6,0,0,8,1,0,0,1,4
FOXE4,0,0,0,1,0,0,2,0,0,0,0,0
FOXF1,54,100,61,11,56,71.3,161,34,45,49,43,22
FOXG1,43,229.98,4,2,93,487.93,17,6,599,220.32,1,2
FOXI1,0,0,0,0,0,0,2,1,0,0,2,0
FOXI3,2,6,18,0,3,8,6,0,4,2,15,1
FOXK1,473,735.24,1490.37,7944.15,597,796,1427,6359.39,810.26,744.04,924,5642.75
FOXL1,3,0,0,0,1,0,2,3,0,1,0,0
FOXN1,2,2,1,2,0,4,0,2,2,2,1,0
FOXN3,293,201.96,371.73,631,470,197,320,554.01,195,417,243,475.02
FOXP1,5,9,14,12,5,21,17,26,25,7,13,15
FOXP2,18,117,71,71,51,42,66,70.95,74,74,50,76
FOXP3,8,1,3,18,17,17,11,9,1,12,3,6
FOXP4,1,0,3,0,3,1,6,0,0,3,1,0
FP1V1,33,40,17,3,39,34,27.99,0,29.1,35.75,12,1.98
FR1L4,4,3,3,1,4,2,5,2,2,6,0,3
FR1L6,0,0,4,1,0,1,0,2,2,2,0,2
FRAS1,31,108,639,91,69.72,75,817.01,74.01,65,105,467.57,73
FRDA,171,455,153,681,213,354,156,410,207,320.95,73,466
FRIH,9566.63,18216.29,78865.97,10737.16,10585.01,19127.54,52475.88,9752.11,19606,13670.7,27350.44,9582.98
FRM4B,0,1,2,0,0,0,0,0,1,1,1,0
FRMD3,490,1308.13,120.98,1878.8,679.24,1080.38,230.09,2247.99,824.84,1000,69,2027.47
FRMD7,0,0,0,0,0,1,0,2,2,0,0,2
FRP2L,0,0,1,1,0,0,0,0,0,0,0,3
FRPD2,0,0,1,0,0,0,0,1,0,0,22,0
FRY,223,285,42,19,308,268,86,13,459,313.03,79,21
FUBP2,268.99,518,582,860,449,524,655,811.95,606,519,379,750
FUCT1,264,390,875.9,109,365.6,354,916.85,103,395,381,436,70
FUMH,1504.01,2598.32,3135.89,1234.96,1507.11,2586,3050,1089.57,3018.26,2157,1617,1137
FUND1,935,1436.9,1188.17,7287.57,955.77,1422.98,940.98,6220.49,1553.75,1163.37,492,5696.21
FURIN,388,708.01,1877.86,500,542,676.92,1882,549.53,590,627,807,475
FUT4,128,160,649,126,148,223,609,118,105,180,244,91
FUT5,1,0,0,21,0,0,0,12,0,0,0,17
FUT7,6,12,17,0,9,18,17,1,18.02,10,13,0
FUT9,0,0,0,13,0,1,0,8,0,0,0,8
FXC1B,11.95,16,12,6,13,8,22,2,16,17,4,1
FXL16,691.99,1803,97,105,955,2426,66,90,2966.76,1493,14,98
FXRD1,358,664,670.69,352,257,540.99,510,235,665,434.99,290.24,171
FZD7,1,3,5,0,6,3,6,0,3,4,1,0
G0S2,29,57,2250,19,10,33,1034.88,10,55,35,772,27
G2E3,0,0,0,2,0,0,0,1,2,0,0,0
G3P,27876.78,49579.57,46419.21,49134.59,33754.08,47957.91,45685.57,52578.13,50729.83,39671.3,23532.33,44585.87
G3ST2,2,2,35,22,3,2,24,14,0,0,17,6
G6PC,5,10,40.96,8,10,9,45,5,6,10,37,8
G6PI,0,0,0,0,0,0,1,0,0,0,0,0
GA2L1,192,446,117,415,189,370,110,494,532,346,52,378
GA45B,316.99,492.39,610,26,379,643,748,42,811.98,697,480,39
GA45G,52,140,208,264.1,55,115.98,336.82,203,65,122,194,190
GAG,0,0,3,0,0,0,1,1,0,0,0,0
GAGC,0,0,28,0,0,0,21,0,1,0,20,0
GAK4,13,0,8,0,14,0,6,0,15,0,2,0
GAK6,0,1,0,84,0,0,0,73,0,0,0,87
GAK8,3,10,2,1,0,1,0,0,1,3,0,0
GALE,285,469.62,1375,126,327.03,442.01,1315.19,135.01,452,419.9,590.05,137.08
GALR1,0,3,1,23,4,8,5,12,3,4,3,8
GALR2,1,0,1,2,0,2,2,0,0,1,0,0
GALT1,1560.14,2735.68,2150.74,867.82,2324.31,2644.45,2278.26,498.36,2425.41,2328.03,1360.99,447
GALT5,0,0,4,0,3,3,3,0,2,0,3,0
GAS6,758.93,1010.16,2708.31,833,805.61,852,2439.78,557.12,933.5,701,2446.61,651
GAS7,1338.99,3608,2504.66,702,1674.01,4901.37,2309,596,6389.41,2789.74,1428.03,582
GAS8,228,463,817.03,6255.94,218,366,630,4996.06,392,287,354,4456.93
GATA1,60,76,1670,76,58,87,1158,104.01,69,110,685,134
GATA5,1,0,13,1,0,2,40,1,0,0,9,2
GATL1,301.14,545,416,141.05,346,469.98,417,126,502,475,245,147
GATL3,34,25,1716,11,23,42,1587,7,64,39,1423.01,15
GATM,25,67,133,43,23,27,114,77,41,44,60,53
GBA2,525,984,623,640.9,505.98,767.13,575,537,748,887,318,580
GBA3,1,8,1,0,0,0,0,0,0,2,0,0
GBG11,76,106,398,113,100,75,391,124,68,81,204,110.96
GBG2,388,1149.91,112,48,582.58,1404.23,103.01,32,1687.51,915.28,42,19.05
GBG3,862.99,1696.66,633.04,78,831.97,1398.01,456.87,68.47,1852.53,1328.49,270.12,56
GBG5,45,128.67,767.02,711.74,50.5,83.5,719.58,608.14,162,104,0.11,654
GBG7,349.67,599.61,552.93,172.99,385.33,803.21,551.03,141,693.56,533.58,291,136.88
GBRB2,1217.78,2872.21,325,159,2606.26,2579.98,298,78,2778.46,2175.61,231,24
GBRB4,2,8,0,3,3,2,0,0,11,7,2,12
GBRG2,2419.71,6705.79,11,17,3262.43,5754.28,19,15,6343.33,4694.19,6,7
GBRP,9,18,948,3,5,5,1638,8,20,5,469,13
GBX1,19.89,2,5,73,2,7,5,68,3,5,3,43
GBX2,14,0,14,105,0,9,25,149,29,65,10,44
GCNT1,0,0,0,1,0,0,0,0,0,0,0,3
GCR,460,427.43,469,138,478,487,542,132,364,563,390,120
GCYA2,0,5,1,0,2,2,9,1,5,1,4,1
GDF11,64,74,23,58.05,79,84,44,43,70,121,19,67
GDF9,3,1,1973,170.82,1,2,2702.11,81,1,3,1797.03,154.92
GDIR3,390.93,819.69,273,498.05,494.85,803,176,648,1015,676.17,129,491
GDN,1329.92,3455.99,3609.03,633.41,1422,3177.04,3807.05,389,4346.99,2661.12,2539,360
GDS1,3368.03,7074.94,1431.92,441,4098.51,5829.09,1539.13,256,5740,5097.14,863.73,305
GEMI,103,189,4624.76,599,113,147,4066.05,400,148,124,2852.82,375
GEMI6,105,208,316,703,135,231,374,669,179.78,168,130,568.06
GFPT2,57,61.98,1418.96,43,52.14,76.05,1626.58,23,63,83.01,445.98,33
GFRA2,5,6,2,10,6,24,106,11,23,22,3,11
GFRAL,21,5,0,4,1,6,0,0,16,9,0,0
GGNB2,423,698.66,2805.09,21019.13,490.05,619,2611.32,17657.31,761.99,634,1401.13,14139.51
GHITM,4383.3,7015.02,3787,5742.08,4813.09,6766.65,3750.95,5084.01,6744.99,6076.85,2078,4853.18
GHR,161,416,921,952,210,614,1186,1036.99,623,453,640.01,900.99
GHSR,11,12,6,6,11,12,9,7,7,22,8,5
GIMA2,5,11,256,4,13,8,135,4,13,26,151,2
GIMA7,1,3,12,3,0,0,18,0,0,1,3,1
GIPC3,0,1,0,0,0,0,2,0,0,2,1,0
GIPR,0,0,0,0,1,0,0,0,10,3,0,2
GKN1,1,1,2,8,0,3,2,2,0,10,0,4
GKN2,0,0,2,2,0,0,1,105,0,0,0,51
GLCM,2,28,0,3,5.07,3,0,1,1,12,1,3
GLCNE,632.62,2017.03,1996,855,758,2435,2102,644,1793,1622.06,853,709
GLD2,436,1198.9,815.99,6850.49,479,1452.18,897.99,5715.55,846.37,1176.17,436.53,5015.28
GLHA,1,27,1,21,1,0,0,9,2,5,2,32
GLIP1,2,0,3,6,0,0,3,0,0,0,0,6
GLL10,0,0,1,31,0,0,44,8,0,0,9,17
GLL11,0,0,0,236,1,0,0,118,0,0,0,77
GLL12,0,0,2,3,0,0,5,1,1,1,4,2
GLL14,1,1,0,3,1,2,0,2,0,1,0,3
GLL1A,9,13,1,0,5,13,2,1,3,14,0,0
GLL4,0,9,0,5,2,9,2,2,0,6,0,4
GLL6,0,6,2,51,1,1,0,54,3,2,0,39
GLL9,0,0,261,18,0,0,421,17.99,1,0,116,15
GLO2,2042.03,3251.25,622.2,1138.25,2040.12,3067.11,516,817.92,3523.29,2933.22,371,683
GLPK,455.94,839.17,571,29071.91,519,899,584.07,23697.81,994.16,710.99,281,23058.42
GLRA1,410,145,0,0,59,100,0,0,50,68,0,1
GLRA2,418,949,10,4,599,915,5,3,621.99,922.07,2,0
GLRA3,72,259,1,3,72,122,0,0,142,192,1,1
GLRX1,68,178,463,53,74,121,270,76,59,121,113,40
GLRX3,1549.91,3018.95,2387.91,5408.01,1727,2386.32,2465.56,4887.91,2457,2088.09,1210.55,3696.62
GLU2B,91,159,186,108,161,163,249,116,161.99,166,78,119
GLUC,69,17,566,30,22,35,931,35,29,53,426,26
