Gene_Symbol,SRR1758112,SRR1758113,SRR1758114,SRR1758115,SRR1758116,SRR1758117,SRR1758118,SRR1758119,SRR1758120,SRR1758121,SRR1758122,SRR1758123
DIAP3,22,28,394,1384.8,14,15,306,1050.81,12,14,113,766
DIRA2,167,454,14,12,214,354.82,4,27,360,390,6,14
DIRC2,940.99,1526.59,1371.3,1446,1028,1491,1186.04,1199,1256.58,1328.06,728,1051.65
DJB11,522.95,926.94,2071.15,1652.74,622,990.51,2064.01,1435,1025.74,794.72,850.99,1564.79
DJB14,1459.89,2680,1856.35,732.3,1723.86,2278.22,1956,656,2115.25,1927.6,931.39,595.01
DJC14,709.99,1294.71,2578,3891,723,1120.12,2102.32,3626,1204.99,875.22,1148,2904.43
DJC22,0,1,24,2,0,0,55,2,0,0,12,1
DKF2,1,4,3,2,0,2,1,1,2,1,3,0
DKK1,3,3,51,3,3,1,21,4,1,3,25,2
DKK3,3,2,0,0,0,5,15,0,4,2,0,0
DLG1L,11,8,0,0,6,7,0,0,15,7,0,0
DLLC,21,46,14,5,16,8,5,2,7,11,2,0
DLRB2,70,203,46,3852,87,146.03,66,3290.91,105,34,8,3100.91
DLX2A,2,8,43,14,4,17,38,8,24,9,7,4
DMBT1,0,0,1,7,0,0,0,6,1,1,0,4
DMP4,46,76,41,1,57,51,39,0,60,80,8,3
DMPK,12.24,0,67.59,0,17.04,0,17.51,6,10.23,28,65.6,11
DMRT1,1,4,15,1028.04,1,2,19,1109,4,1,12,1013
DNA2,0,0,8,28,0,2,31,40,1,0,12,9
DNJ5B,62,95,470,1321.06,80,61,348,1180.99,79,85,184,861
DNJA1,2115.87,5501,3455,5448.09,2676.27,5184.95,3507.99,4039,4012.83,5203.22,1509.99,4044.61
DNJA2,2631.07,5194.29,4572.99,3129,3384.23,5187.35,4968,2311.84,6451.27,4448.01,2452,2115.72
DNJB8,1,4,8,21068.18,0,8,2,18637.28,16,6,5,14082.72
DNJC1,161,265,334,615.12,190,276,239.8,715,332,322,176,575.99
DNJC8,2323.56,4708.17,4425.79,2350.99,2657.1,4302.02,3968.95,2383.38,4698.78,3739.42,2195.4,2180.76
DNJC9,183,341,2988.9,4858.72,228,274,2307.76,3749.78,265,242.02,914.34,3492.88
DNM1L,3196,5363.09,2637.98,19081.68,3520.33,5628.33,2565.57,16068.04,6830.98,4631.03,1432,15690.05
