Species,Class,Label,UnimapRate,UngapRate,AdjN50Scaffold,AdjN50Config,Transcript_diversity,Quant.rate (Amb),Quant.rate_(Abs),Quant.rate,MultiMapRate,MapRate,NGS applicability index
Poecilia reticulata,Actinopteri,Actinopteri,0.851423333,0.865030965,0.3473684,0.3473684,0,0.991562811,0.87612512,0.330321587,0.9798,0.871626667,0.646062728
Pundamilia nyererei,Actinopteri,Actinopteri,0.673713333,0.778838426,0.2,0.2,0.019511336,0.98364346,0.74653118,0.471834889,0.98311,0.6906,0.574778262
Rattus norvegicus,Mammalia,Mammalia,0.86847,0.997887188,0.8526316,0.8210526,0.331174039,0.98783762,0.909416377,0.359169311,0.961156667,0.907323333,0.799611874
Rhinolophus ferrumequinum,Mammalia,Mammalia,0.779083333,0.999436341,0.7052632,0.8631579,0.141710693,0.988523952,0.89144886,0.340731348,0.97689,0.80218,0.748842563
Rhinopithecus roxellana,Mammalia,Mammalia,0.809183333,0.777114721,0.04210526,0.1894737,0.322696554,0.991171233,0.893555254,0.323490085,0.93645,0.87275,0.615799014
Saccharomyces cerevisiae,Saccharomycetes,Saccharomycetes,0.824953333,1,0.9263158,0.9789474,0.067390909,0.976196877,0.985904684,0.396143586,0.904026667,0.920913333,0.798079259
Salmo salar,Actinopteri,Actinopteri,0.75456,1,0.4,0.8105263,0.479993252,0.926838977,0.892375034,0.605011465,0.874393333,0.880153333,0.762385169
Sander lucioperca,Actinopteri,Actinopteri,0.63886,0.999872722,0.3157895,0.6947368,0.068022026,0.9913493,0.909222381,0.275694096,0.94556,0.693323333,0.653243016
Sarcophilus harrisii,Mammalia,Mammalia,0.42943,0.998767223,1,0.9473684,0.308943381,0.976728811,0.820138182,0.24850566,0.979613333,0.44983,0.715932499
Scophthalmus maximus,Actinopteri,Actinopteri,0.888786667,0.999814538,0.8105263,0.9684211,0.460196923,0.983935714,0.753181386,0.655679131,0.958596667,0.93019,0.840932843
Seriola dumerili,Actinopteri,Actinopteri,0.802353333,0.976246323,0.3684211,0.4526316,0.010215513,0.984562792,0.937802509,0.359134512,0.950373333,0.851963333,0.669370435
Sparus aurata,Actinopteri,Actinopteri,0.750023333,0.996188938,0.7368421,0.6105263,0.124900856,0.992522121,0.920440008,0.325118751,0.951143333,0.798873333,0.720657907
Sus scrofa,Mammalia,Livestock,0.7401,0.998498122,0.5894737,0.9368421,0.625902066,0.971231739,0.887792041,0.281888351,0.964456667,0.77565,0.777183479
Taeniopygia guttata,Aves,Aves,0.727563333,0.998876319,0.9052632,0.8315789,0.408334855,0.986637695,0.930585042,0.330932875,0.979896667,0.74768,0.784734889
Takifugu rubripes,Actinopteri,Actinopteri,0.783693333,0.998538123,0.7578947,0.7473684,0.163101009,0.950131869,0.876877288,0.654345196,0.91206,0.871626667,0.771563659
Ursus maritimus,Mammalia,Mammalia,0.738323333,0.598736677,0.3368421,0.1263158,0.32607621,0.979371982,0.741151235,0.519052849,0.93466,0.803666667,0.610419685
Xenopus tropicalis,Amphibia,Amphibia,0.67373,0.997512628,0.9473684,0.8,0.107934521,0.97413505,0.919944703,0.599516517,0.774876667,0.89885,0.769386849
Xiphophorus maculatus,Actinopteri,Actinopteri,0.76279,0.999432705,0.7894737,0.8421053,0.002264934,0.960782621,0.830839007,0.725126772,0.96928,0.793513333,0.767560837
